State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
Alabama,04,"NEIGHBORS, RICKY ALLEN",Democratic Party,Challenger,"$21,088","$20,588",$500,$0,"$17,429",$0,$0,6/30/18
Alabama,04,"NORRIS, PHILLIP",Republican Party,Challenger,$100,$0,$0,$100,$100,$0,$0,3/8/18
Alabama,05,"SWEENEY, TERRENCE MICHAEL",Republican Party,Open,"$5,000","$5,000",$0,$0,"$9,604",-$79,$0,5/15/18
Alabama,05,"BROOKS, MO",Republican Party,Incumbent,"$1,255,199","$1,064,958","$185,700",$0,"$1,824,681","$601,455",$0,6/30/18
Alabama,05,"CAIN, BRETT BUTLER",Democratic Party,Challenger,"$2,690","$2,690",$0,$0,"$2,907",-$217,$0,6/30/18
Alabama,05,"HINCHMAN, ROBERT CLAYTON MR",Republican Party,Challenger,"$251,022","$125,088","$25,434","$100,500","$250,620",$402,"$100,000",6/30/18
Alabama,05,"HOLTZCLAW, WILLIAM LOVETTE",Republican Party,Challenger,"$40,973","$33,481","$1,000","$5,992","$40,900",$73,"$5,392",3/31/18
Alabama,05,"JOFFRION, PETER S.",Democratic Party,Challenger,"$315,759","$307,289","$2,750","$5,024","$213,843","$101,915",$762,6/30/18
Alabama,06,"PALMER, GARY",Republican Party,Incumbent,"$887,497","$231,930","$225,293",$0,"$558,701","$980,976",$0,6/30/18
Alabama,06,"KLINE, DANNER",Democratic Party,Challenger,"$179,719","$179,161",$0,$558,"$117,171","$62,548",$0,6/30/18
Alabama,07,"SEWELL, TERRI A.",Democratic Party,Incumbent,"$1,331,537","$263,131","$1,067,096",$0,"$673,973","$1,622,090",$0,6/30/18
Alaska,00,"YOUNG, DONALD E",Republican Party,Incumbent,"$772,528","$414,450","$354,662",$0,"$572,720","$469,536",$0,6/30/18
Alaska,00,"GALVIN, ALYSE",Independent,Challenger,"$530,656","$509,075","$8,000","$13,581","$263,167","$267,490","$18,176",6/30/18
Alaska,00,"NELSON, THOMAS JOHN",Republican Party,Challenger,"$1,888","$1,303",$0,$584,$828,"$1,060",$0,6/30/18
Alaska,00,"SHEIN, DIMITRI",Democratic Party,Challenger,"$190,830","$47,541",$0,"$143,274","$71,732","$119,097","$100,857",6/30/18
American Samoa,00,"AMATA, AUMUA",Republican Party,Incumbent,"$84,590","$54,690","$29,900",$0,"$79,326","$7,363",$0,6/30/18
Arizona ,01,"O'HALLERAN, TOM",Democratic Party,Incumbent,"$1,733,927","$938,466","$777,965",$0,"$625,763","$1,125,456",$0,6/30/18
Arizona ,01,"CAVANAUGH, KEVIN",Republican Party,Challenger,"$11,164","$10,192",$0,$972,"$11,164",$0,$381,6/30/18
Arizona ,01,"ROGERS, WENDY",Republican Party,Challenger,"$415,795","$414,897",$0,$699,"$139,481","$281,304",$0,6/30/18
Arizona ,01,"SHEDD, TIFFANY",Republican Party,Challenger,"$451,233","$240,526","$32,000","$178,617","$206,557","$244,676","$159,000",6/30/18
Arizona ,01,"SMITH, STEVE",Republican Party,Challenger,"$392,979","$368,479","$24,500",$0,"$134,428","$258,552",$0,6/30/18
Arizona ,02,"HEINZ, MATTHEW GERALD",Democratic Party,Open,"$854,724","$452,885","$26,500","$375,338","$360,927","$493,797","$350,000",6/30/18
Arizona ,02,"KIRKPATRICK, ANN",Democratic Party,Open,"$1,764,194","$1,364,954","$322,517","$2,700","$927,267","$836,928",$0,6/30/18
Arizona ,02,"KOVACS, WILLIAM RICHARD",Democratic Party,Open,"$71,922","$41,470",$0,"$30,453","$54,978","$12,739","$6,500",6/30/18
Arizona ,02,"MARQUEZ PETERSON, LEA",Republican Party,Open,"$707,390","$651,089","$25,500","$30,800","$198,322","$509,068","$30,800",6/30/18
Arizona ,02,"MARTIN, BRANDON RAY",Republican Party,Open,"$24,537","$23,400",$0,$876,"$23,013","$1,524",$0,6/30/18
Arizona ,02,"MATIELLA, MARIA MARY",Democratic Party,Open,"$260,491","$236,088",$184,"$24,080","$193,513","$66,979","$10,000",6/30/18
Arizona ,02,"MORALES, DANIEL ROMERO JR",Republican Party,Open,"$6,365","$5,538",$0,$827,"$6,046",$319,$0,6/30/18
Arizona ,02,"SHERRY, BARBARA LOUISE",Democratic Party,Open,"$6,816","$1,716",$0,"$5,100","$1,692",$55,$0,6/30/18
Arizona ,02,"WELCH, CASEY BURKE MR.",Republican Party,Open,"$14,197",$750,$0,"$13,447","$13,402",$200,$0,6/30/18
Arizona ,02,"WHEELER, BRUCE",Democratic Party,Open,"$22,363","$21,345",$0,"$1,018","$11,986","$10,377",$0,6/30/18
Arizona ,02,"WILES, MARILYN MS",Republican Party,Open,"$10,020","$6,520","$1,000","$2,500","$3,558","$6,461","$1,000",6/30/18
Arizona ,02,"YUKSEL, YAHYA",Democratic Party,Open,"$48,604","$48,604",$0,$0,"$35,840","$12,764",$0,6/30/18
Arizona ,03,"GRIJALVA, RAUL M",Democratic Party,Incumbent,"$494,182","$303,099","$184,000",$0,"$401,027","$151,305","$4,016",6/30/18
Arizona ,03,"ARELLANO, SERGIO",Republican Party,Challenger,"$34,160","$30,653",$0,"$3,482","$24,358","$9,802",$0,6/30/18
Arizona ,03,"PIERSON, JOE NICOLAS",Republican Party,Challenger,"$21,543","$14,184",$0,$609,"$15,009","$6,533",$609,6/30/18
Arizona ,03,"SAN MIGUEL, EDNA",Republican Party,Challenger,"$10,305","$10,155",$0,$150,"$8,034",-$200,$0,6/30/18
Arizona ,04,"GOSAR, PAUL DR.",Republican Party,Incumbent,"$403,997","$236,843","$150,900",$0,"$239,031","$272,559",$0,6/30/18
Arizona ,04,"BRILL, DAVID H",Democratic Party,Challenger,"$176,358","$71,358",$0,"$105,000","$144,968","$31,390",$0,6/30/18
Arizona ,04,"DISANTO, DELINA",Democratic Party,Challenger,"$12,840","$3,389",$0,"$9,451","$9,693","$3,147","$24,000",6/30/18
Arizona ,04,"PEREZ GISSY, ANA MARIA MS",Democratic Party,Challenger,"$8,393","$5,413",$0,$30,"$7,807",$586,$450,6/30/18
Arizona ,05,"MENOR, SCOTT A",Democratic Party,Open,"$4,644",$617,$0,"$4,027","$7,832","-$3,188","$4,000",3/31/18
Arizona ,05,"BIGGS, ANDY MR.",Unknown,Incumbent,"$641,682","$264,699","$229,230",$0,"$335,764","$354,515","$131,000",6/30/18
Arizona ,05,"GREENE, JOAN",Democratic Party,Challenger,"$68,954","$15,822",$0,"$50,525","$57,217","$11,707","$50,525",6/30/18
Arizona ,05,"MARGALIS, TONY",Democratic Party,Challenger,"$3,221",$100,$0,$621,"$3,221",$0,$0,3/31/18
Arizona ,05,"TORRES, JOSE LAZARO",Democratic Party,Challenger,"$10,412","$7,580",$0,"$2,832","$10,863",-$451,"$2,826",6/30/18
Arizona ,06,"SCHWEIKERT, DAVID",Republican Party,Incumbent,"$1,381,831","$269,918","$743,500",$0,"$871,743","$538,489","$42,132",6/30/18
Arizona ,06,"MALIK, ANITA",Democratic Party,Challenger,"$106,397","$106,397",$0,$0,"$84,947","$21,625",$0,6/30/18
Arizona ,06,"MCFADDEN, GARRICK ARVIN MR.",Democratic Party,Challenger,"$96,370","$56,351","$2,500","$34,975","$94,419","$1,951","$26,875",6/30/18
Arizona ,06,"ROSS, HEATHER MAURA",Democratic Party,Challenger,"$357,222","$326,886","$19,500","$6,572","$279,715","$77,507",$0,6/30/18
Arizona ,06,"WILLIAMSON, W JOHN",Democratic Party,Challenger,$977,$209,$0,$768,"$1,110",$19,"$12,999",6/14/18
Arizona ,07,"GALLEGO, RUBEN",Democratic Party,Incumbent,"$792,033","$376,132","$414,200",$0,"$441,539","$733,755",$0,6/30/18
Arizona ,07,"MIRANDA, CATHERINE",Democratic Party,Challenger,"$28,191","$25,191","$3,000",$0,"$22,449","$5,742","$3,542",6/30/18
Arizona ,08,"ALLEN, CHAD",Republican Party,Open,"$33,012","$4,625",$0,"$28,387","$33,012",$0,$0,6/30/18
Arizona ,08,"DILLEY, BRENDEN",Republican Party,Open,"$47,019","$47,016",$0,$0,"$47,015",$4,$0,6/30/18
Arizona ,08,"LIEN, DAVID",Republican Party,Open,"$17,745","$15,595",$0,"$2,000","$19,383","-$1,638",$0,3/31/18
Arizona ,08,"LOVAS, PHIL",Republican Party,Open,"$318,413","$251,617","$15,250","$45,806","$318,413",$0,$0,3/31/18
Arizona ,08,"MACK, RICHARD",Republican Party,Open,"$72,710","$40,278",$0,"$32,432","$72,710",$0,$0,3/31/18
Arizona ,08,"MCHALE, JUDITH KEENAN",Democratic Party,Open,"$4,845","$4,145",$200,$0,"$3,848",-$820,$0,9/30/17
Arizona ,08,"MONTENEGRO, STEVE",Republican Party,Open,"$356,447","$321,447","$35,000",$0,"$356,447",$0,$0,6/30/18
Arizona ,08,"SAWDY, STEVEN",Republican Party,Open,"$1,000",$0,$0,"$1,000",$389,$611,$0,6/30/18
Arizona ,08,"STUMP, BOB",Republican Party,Open,"$21,980","$21,980",$0,$0,"$21,980","$13,485",$0,6/30/18
Arizona ,08,"SYLVESTER, CHRISTOPHER",Independent,Open,"$8,403",$629,$0,"$7,774","$7,917",$486,$0,3/31/18
Arizona ,08,"TIPIRNENI, HIRAL",Democratic Party,Open,"$2,848,325","$2,676,706","$78,146","$93,443","$2,548,320","$300,005","$70,000",6/30/18
Arizona ,08,"WESTBROOK, BRIANNA",Democratic Party,Open,"$42,871","$39,171",$250,$275,"$38,440",$0,$0,6/30/18
Arizona ,08,"FRANKS, TRENT*",Republican Party,Incumbent,"$139,710","$44,815","$93,250",$0,"$147,160",$0,$0,3/31/18
Arizona ,08,"LESKO, DEBBIE",Republican Party,Incumbent,"$1,357,890","$978,817","$324,515","$26,704","$1,201,031","$156,858","$25,000",6/30/18
Arizona ,08,"MUSSELWHITE, ROBERT RICHARD",Democratic Party,Challenger,"$7,052",$0,$0,$0,"$6,932",$140,$0,6/30/18
Arizona ,09,"ARAUJO, HECTOR MR.",Democratic Party,Open,"$3,580","$3,580",$0,$0,"$1,849","$1,731",$0,6/30/18
Arizona ,09,"BARONESS VON BEHR, IRINA",Republican Party,Open,"$21,244",$425,$0,"$19,624","$16,136","$5,109","$19,624",6/30/18
Arizona ,09,"FERRARA, STEVE MD",Republican Party,Open,"$1,008,475","$784,098","$122,700","$101,677","$273,651","$734,825","$90,000",6/30/18
Arizona ,09,"FUENTES, TALIA",Democratic Party,Open,"$44,664","$44,664",$0,$0,"$43,867",$797,$0,3/31/18
Arizona ,09,"GILES, DAVID VICTOR",Republican Party,Open,"$52,584","$6,906",$0,"$45,678","$52,336",$296,"$288,200",6/30/18
Arizona ,09,"LEIBSOHN, SETH MR.",Republican Party,Open,"$144,447","$141,947","$2,500",$0,"$122,023","$22,424",$0,6/30/18
Arizona ,09,"STANTON, GREG",Democratic Party,Open,"$1,571,746","$1,344,636","$170,733",$0,"$406,572","$1,165,174",$0,6/30/18
Arkansas,01,"CRAWFORD, ERIC ALAN RICK",Republican Party,Incumbent,"$748,933","$395,526","$351,407",$0,"$578,333","$429,178",$0,6/30/18
Arkansas,01,"DESAI, CHINTAN",Democratic Party,Challenger,"$54,976","$51,056","$3,920",$0,"$48,986","$5,990",$0,6/30/18
Arkansas,02,"HILL, JAMES FRENCH",Republican Party,Incumbent,"$1,954,935","$1,085,285","$867,150",$0,"$958,547","$1,645,057",$0,6/30/18
Arkansas,02,"COMBS, GWENDOLYNN MILLEN MRS.",Democratic Party,Challenger,"$33,935","$32,035",$0,"$1,899","$31,423","$3,012",$0,6/30/18
Arkansas,02,"DUNKLEY, JONATHAN",Democratic Party,Challenger,"$34,466","$24,466",$0,"$10,000","$34,298",$418,"$10,000",6/30/18
Arkansas,02,"SPENCER, PAUL JOHN MR.",Democratic Party,Challenger,"$267,100","$264,861",$0,"$1,583","$266,374",$726,$0,6/30/18
Arkansas,02,"TUCKER, EVERETT CLARKE IV",Democratic Party,Challenger,"$975,518","$904,973","$70,345",$200,"$589,127","$386,391",$0,6/30/18
Arkansas,03,"WOMACK, STEVE",Republican Party,Incumbent,"$852,725","$379,142","$467,452",$0,"$738,900","$1,279,640",$0,6/30/18
Arkansas,03,"MAHONY, JOSH",Democratic Party,Challenger,"$156,972","$74,380","$1,000","$81,591","$105,488","$51,483","$46,666",6/30/18
Arkansas,03,"RYERSE, ROBERT",Republican Party,Challenger,"$50,303","$39,303",$0,"$11,000","$42,945","$7,358",$0,5/2/18
Arkansas,04,"WESTERMAN, BRUCE",Republican Party,Incumbent,"$1,330,853","$722,209","$608,132",$0,"$673,367","$1,002,020",$0,6/30/18
Arkansas,04,"CALDWELL, RANDY",Republican Party,Challenger,"$14,450","$14,450",$0,$0,"$15,452","$4,847",$0,3/31/18
Arkansas,04,"MCQUEEN, LEE",Independent,Challenger,"$1,121",$843,$0,$110,"$1,010",$0,$0,6/30/18
Arkansas,04,"SHAMEL, HAYDEN CATHERINE",Democratic Party,Challenger,"$91,334","$79,069","$6,114","$2,718","$72,772","$18,563",$0,6/30/18
California ,01,"LAMALFA, DOUG",Republican Party,Incumbent,"$591,492","$292,282","$297,202",$0,"$266,796","$414,172",$0,6/30/18
California ,01,"DENNEY, AUDREY",Democratic Party,Challenger,"$342,955","$318,769","$5,300","$18,886","$202,990","$139,965","$18,886",6/30/18
California ,01,"DUNCAN, DENNIS DEAN",Democratic Party,Challenger,"$7,521","$4,537",$0,"$2,457","$3,790",$0,$0,6/30/18
California ,01,"ELBINGER, LEWIS",Green Party,Challenger,"$16,403","$3,070",$0,"$13,333","$16,403",$0,$0,6/29/18
California ,01,"HOLCOMBE, JESSICA JONES",Democratic Party,Challenger,"$290,021","$288,417",$0,"$1,604","$278,823","$11,198",$993,6/30/18
California ,01,"PETERSON, DAVID",Democratic Party,Challenger,"$17,275","$2,275",$0,"$15,000","$12,697","$4,578","$15,000",3/31/18
California ,01,"STORMENT, BRANDON",Democratic Party,Challenger,"$1,019",$3,$0,"$1,016","$1,019",$0,$0,11/30/17
California ,01,"WALTERS, MARTHA",Democratic Party,Challenger,"$68,656","$49,715","$2,000","$16,941","$55,918","$12,737",$629,6/30/18
California ,02,"HUFFMAN, JARED",Democratic Party,Incumbent,"$734,206","$447,044","$279,641",$0,"$594,838","$740,177",$0,6/30/18
California ,02,"MENSING, DALE KENNETH",Republican Party,Challenger,"$4,041",$715,$0,"$3,226","$3,026","$1,454",$0,6/30/18
California ,03,"GARAMENDI, JOHN",Democratic Party,Incumbent,"$820,329","$278,509","$537,660",$0,"$414,841","$849,253",$0,6/30/18
California ,03,"SCHAUPP, CHARLES EUGENE",Republican Party,Challenger,"$25,405","$3,151","$2,000","$20,000","$10,537","$10,494","$10,000",6/30/18
California ,04,"MCCLINTOCK, THOMAS",Republican Party,Incumbent,"$1,188,804","$1,040,714","$146,700",$0,"$804,810","$670,975",$611,6/30/18
California ,04,"BATESON, REGINA",Democratic Party,Challenger,"$799,998","$794,001",$0,"$1,767","$796,479","$3,518",$0,6/30/18
California ,04,"CALDERON, ROZA I",Democratic Party,Challenger,"$97,376","$42,376",$0,"$55,000","$32,122","$66,107","$55,000",3/31/18
California ,04,"MORSE, JESSICA",Democratic Party,Challenger,"$1,461,623","$1,383,909","$42,381",$232,"$925,669","$535,954",$0,6/30/18
California ,04,"WHITE, MITCHELL",Republican Party,Challenger,"$11,496","$4,646",$0,"$6,850","$10,316","-$3,779",$350,5/16/18
California ,04,"WILCOX, ROCHELLE LYN",Democratic Party,Challenger,"$24,438","$20,438",$0,"$4,000","$24,438",$0,$0,12/31/17
California ,05,"THOMPSON, MIKE MR.",Democratic Party,Incumbent,"$1,610,160","$595,791","$999,019",$0,"$1,497,408","$1,630,130","$10,669",6/30/18
California ,06,"MATSUI, DORIS",Democratic Party,Incumbent,"$831,650","$227,249","$604,124",$0,"$770,089","$436,535",$0,6/30/18
California ,07,"BERA, AMERISH",Democratic Party,Incumbent,"$2,201,132","$1,275,684","$921,600",$21,"$593,031","$1,741,011","$297,800",6/30/18
California ,07,"BARASH, YONA",Republican Party,Challenger,"$319,248","$171,632",$0,"$147,506","$316,838","$2,410","$16,542",6/30/18
California ,07,"GRANT, ANDREW",Republican Party,Challenger,"$373,087","$353,295","$19,250",$25,"$300,892","$72,195","$24,344",6/30/18
California ,07,"WESTMORELAND, BRAD",Democratic Party,Challenger,"$2,582","$1,812",$500,$270,"$2,582",$0,$0,2/23/18
California ,08,"COOK, PAUL",Republican Party,Incumbent,"$757,325","$232,635","$516,149",$0,"$783,696","$544,843",$0,6/30/18
California ,08,"DONNELLY, TIMOTHY M.",Republican Party,Challenger,"$105,243","$103,482",$400,$0,"$95,778","$9,465","$3,358",6/30/18
California ,08,"DOYLE, MARGE",Democratic Party,Challenger,"$416,178","$399,720","$3,860","$2,018","$350,986","$73,548","$4,484",6/30/18
California ,08,"RAMIREZ-DEAN, RITA DR",Democratic Party,Challenger,$369,$369,$0,$0,"$4,515","$3,246","$30,102",6/30/18
California ,09,"MCNERNEY, GERALD MARK",Democratic Party,Incumbent,"$859,917","$562,416","$295,244",$0,"$451,842","$618,552","$2,954",6/30/18
California ,09,"HOWZE, TED D II",Republican Party,Challenger,"$6,000",$0,"$5,000","$1,000",$0,"$6,000","$1,000",6/30/18
California ,09,"LIVENGOOD, MARLA",Republican Party,Challenger,"$51,541","$49,759","$1,500",$0,"$29,912","$21,628",$0,6/30/18
California ,10,"DENHAM, JEFF",Republican Party,Incumbent,"$3,466,180","$1,132,037","$1,898,115",$0,"$1,398,338","$2,394,294","$16,832",6/30/18
California ,10,"BARKLEY, MICHAEL JAMES",Democratic Party,Challenger,"$46,938",$859,$0,"$13,674","$13,832","$1,031","$46,139",6/30/18
California ,10,"BATTISTA, LISA",Democratic Party,Challenger,"$7,028","$6,504",$0,$525,"$1,841","$5,188",$525,6/30/17
California ,10,"BEDOLLA, MATEO MORELOS",Democratic Party,Challenger,$440,$340,$0,$100,$440,$0,$0,6/30/18
California ,10,"EGGMAN, MICHAEL RAY",Democratic Party,Challenger,"$341,821","$279,896","$34,500",$0,"$388,587","$8,928","$1,610",6/30/18
California ,10,"HARDER, JOSH",Democratic Party,Challenger,"$2,550,405","$2,381,946","$116,759",$0,"$1,491,515","$1,058,890",$0,6/30/18
California ,10,"MADUENO, VIRGINIA",Democratic Party,Challenger,"$355,179","$313,777","$29,000","$12,403","$324,736","$30,443","$10,000",6/30/18
California ,10,"NYGARD, DOROTHY (DOTTY)",Democratic Party,Challenger,"$68,767","$63,413","$3,000",$0,"$68,767",$0,$0,6/30/18
California ,10,"SNOVER, TERRA EVA",Independent,Challenger,$428,$428,$0,$0,$338,$590,$0,12/31/17
California ,10,"VAUGHN, SETH MICHAEL",Democratic Party,Challenger,$970,$552,$0,$417,$970,$0,$0,12/31/17
California ,10,"ZWAHLEN, SUE",Democratic Party,Challenger,"$479,395","$112,973",$0,"$366,421","$478,959",$436,"$360,666",6/30/18
California ,11,"DESAULNIER, MARK",Democratic Party,Incumbent,"$451,857","$176,665","$273,600",$0,"$340,721","$335,636",$0,6/30/18
California ,11,"LYTTON, ALVA",Democratic Party,Challenger,"$23,299","$5,980",$0,"$14,726","$20,632","$2,667","$4,821",6/30/18
California ,12,"PELOSI, NANCY",Democratic Party,Incumbent,"$3,364,124","$2,176,411","$873,500",$0,"$3,611,325","$1,573,617",$0,6/30/18
California ,12,"BUTTAR, SHAHID",Democratic Party,Challenger,"$66,005","$64,873",$0,$945,"$65,368",$637,"$5,060",6/30/18
California ,12,"GOLDSTEIN, MICHAEL",,Challenger,"$2,860",$335,$0,"$2,451",$558,"$2,302","$7,212",6/30/18
California ,12,"HERMANSON, BARRY",Green Party,Challenger,"$7,115",$762,$0,"$6,353","$7,115",$0,$0,6/30/18
California ,12,"JAFFE, STEPHEN R",Democratic Party,Challenger,"$102,388","$82,084","$4,955",$0,"$100,865","$1,071","$40,208",6/30/18
California ,12,"KHOJASTEH, RYAN",Democratic Party,Challenger,"$53,875","$50,774",$500,"$1,300","$53,647",$228,$0,6/30/18
California ,12,"REMMER, LISA",Republican Party,Challenger,"$14,635","$3,635",$0,"$10,000","$2,667","$11,968","$17,265",6/30/18
California ,13,"LEE, BARBARA",Democratic Party,Incumbent,"$1,294,640","$1,022,157","$264,767",$0,"$1,233,230","$99,542","$4,402",6/30/18
California ,14,"SPEIER, JACKIE",Democratic Party,Incumbent,"$816,387","$581,628","$228,630",$0,"$507,615","$1,851,666","$1,325",6/30/18
California ,15,"SWALWELL, ERIC MICHAEL",Democratic Party,Incumbent,"$2,131,975","$1,392,321","$720,480",$0,"$1,646,895","$1,499,203",$0,6/30/18
California ,15,"PETERS, RUDY PETERS",Republican Party,Challenger,"$16,150","$10,575",$0,"$5,075","$10,118","$6,032","$10,760",6/30/18
California ,15,"ST JOHN, ERICK BRENDAN",No Party Affiliation,Challenger,"$9,348","$7,843",$0,"$1,360","$9,252",$96,$0,6/30/18
California ,16,"COSTA, JIM",Democratic Party,Incumbent,"$1,152,895","$445,271","$700,351",$0,"$618,105","$1,151,467","$60,559",6/30/18
California ,16,"HENG, ELIZABETH",Republican Party,Challenger,"$312,733","$247,981","$61,500","$3,252","$197,412","$115,320",$0,6/30/18
California ,17,"KHANNA, ROHIT",Democratic Party,Incumbent,"$2,203,970","$2,197,421","$2,000",$0,"$1,506,073","$752,989","$105,482",6/30/18
California ,17,"COHEN, RONALD H",Republican Party,Challenger,"$3,446",$0,$0,"$3,446","$2,774",$630,$0,6/30/18
California ,17,"TRAN, KHANH",Democratic Party,Challenger,"$7,265","$7,000",$0,$265,"$7,209",$56,$265,6/15/18
California ,18,"ESHOO, ANNA G",Democratic Party,Incumbent,"$1,021,365","$622,837","$393,150",$0,"$961,010","$462,823","$2,704",6/30/18
California ,19,"LOFGREN, ZOE",Democratic Party,Incumbent,"$1,369,556","$837,677","$348,600",$0,"$1,286,074","$1,358,594",$0,6/30/18
California ,20,"PANETTA, JIMMY",Democratic Party,Incumbent,"$884,131","$321,654","$561,634",$0,"$418,269","$695,317","$10,000",6/30/18
California ,20,"CHEADER, ROBERT NEIL",Independent,Challenger,$50,$50,$0,$50,$55,$0,$0,6/30/17
California ,21,"VALADAO, DAVID",Republican Party,Incumbent,"$2,305,340","$792,993","$1,167,567",$0,"$729,254","$1,625,258",$0,6/30/18
California ,21,"COX, TERRANCE JOHN (TJ)",Democratic Party,Challenger,"$1,326,532","$832,113","$195,361","$265,500","$375,245","$951,287","$257,500",6/30/18
California ,21,"HUERTA, EMILIO J. MR.",Democratic Party,Challenger,"$110,938","$108,799","$2,000",$0,"$174,158","$55,617",$0,6/30/18
California ,22,"NUNES, DEVIN GERALD",Republican Party,Incumbent,"$7,428,563","$6,103,156","$1,220,617",$0,"$4,497,878","$6,108,585",$0,6/30/18
California ,22,"BLIATOUT, BOBBY",Democratic Party,Challenger,"$286,938","$105,154",$0,"$179,083","$284,618","$2,320","$108,917",6/30/18
California ,22,"FRANCO, RICARDO JOSE",Democratic Party,Challenger,"$50,279","$44,737","$1,000","$4,542","$47,423","$2,856","$17,376",6/30/18
California ,22,"JANZ, ANDREW",Democratic Party,Challenger,"$2,872,386","$2,819,783","$52,421",$0,"$1,748,230","$1,124,156",$0,6/30/18
California ,23,"MCCARTHY, KEVIN",Republican Party,Incumbent,"$6,583,490","$437,991","$2,541,400",$0,"$3,965,736","$4,135,573","$10,000",6/30/18
California ,23,"BARRO, MARY",Democratic Party,Challenger,"$9,371",$654,$0,"$8,717","$9,300",$71,"$5,323",6/30/18
California ,23,"MATTA, TATIANA",Democratic Party,Challenger,"$34,975","$33,556",$0,"$1,418","$28,835","$6,103",$0,6/30/18
California ,23,"OWEN, ROBERT THURMAN III",Democratic Party,Challenger,"$17,660","$17,660",$0,$0,"$19,435",$0,$0,5/18/18
California ,23,"REED, WENDY",Democratic Party,Challenger,"$26,781","$21,269","$1,000","$4,499","$26,152",$630,"$3,799",6/30/18
California ,23,"WILSON, KURTIS",Democratic Party,Challenger,"$11,880","$8,348",$0,"$3,532","$11,754",$126,"$3,052",6/30/18
California ,24,"CARBAJAL, SALUD",Democratic Party,Incumbent,"$2,223,454","$1,579,629","$625,334",$0,"$711,480","$1,564,266",$0,6/30/18
California ,24,"FAREED, JUSTIN",Republican Party,Challenger,"$763,813","$704,723","$53,500",$0,"$575,137","$245,933","$111,938",6/30/18
California ,24,"WOODY, MICHAEL",Republican Party,Challenger,"$156,323","$19,600","$1,000","$135,500","$153,162","$3,161","$94,500",6/30/18
California ,25,"KNIGHT, STEVE",Republican Party,Incumbent,"$1,703,744","$548,938","$922,115",$0,"$439,771","$1,301,165","$9,628",6/30/18
California ,25,"CAFORIO, BRYAN",Democratic Party,Challenger,"$1,211,533","$1,014,668","$62,684","$108,683","$1,193,629","$20,881","$96,000",6/30/18
California ,25,"GREENAWAY, DIEDRA MICHELLE",Democratic Party,Challenger,"$4,257","$2,557",$0,$0,"$4,257",$0,$0,12/31/17
California ,25,"HILL, KATHERINE LAUREN",Democratic Party,Challenger,"$2,451,457","$2,215,921","$192,138","$13,938","$1,598,615","$852,842",$0,6/30/18
